checkpoint,num_edges
4000,74
5000,223
6000,248
7000,290
8000,329
9000,203
10000,137
11000,124
12000,141
13000,149
14000,177
15000,350
16000,235
17000,368
18000,152
19000,120
20000,144
21000,173
22000,448
23000,216
24000,207
25000,138
26000,180
27000,156
28000,171
29000,181
30000,121
31000,193
32000,327
33000,162
34000,164
35000,170
36000,222
37000,155
38000,351
39000,458
40000,506
41000,220
42000,110
43000,145
44000,165
45000,703
46000,271
47000,155
48000,507
49000,106
50000,161
51000,487
52000,582
53000,161
54000,527
55000,620
56000,208
57000,594
58000,520
59000,148
60000,505
61000,527
62000,176
63000,573
64000,473
65000,472
66000,482
67000,575
68000,469
69000,631
70000,482
71000,694
72000,492
73000,508
74000,574
75000,524
76000,480
77000,524
78000,565
79000,593
80000,580
81000,549
82000,596
83000,671
84000,629
85000,578
86000,813
87000,578
88000,806
89000,703
90000,935
91000,781
92000,745
93000,1011
94000,747
95000,680
96000,1043
97000,1013
98000,961
99000,788
100000,785
101000,910
102000,994
103000,623
104000,949
105000,935
106000,944
107000,850
108000,1122
109000,1178
110000,1086
111000,1080
112000,848
113000,1029
114000,1121
115000,1014
116000,1169
117000,840
118000,1103
119000,1001
120000,799
121000,801
122000,997
123000,754
124000,667
125000,788
126000,929
127000,998
128000,906
129000,819
130000,979
131000,1347
132000,1212
133000,1154
134000,1013
135000,1154
136000,1142
137000,1049
138000,985
139000,1115
140000,1377
141000,923
142000,1248
143000,1059
